,change,temp,adm0,response
0,-0.46440309091204923,27.17003448664797,Brazil,residential
1,-0.44372332996141806,27.9213047368581,Brazil,residential
2,-0.42304356901078694,28.67257498706823,Brazil,residential
3,-0.40236380806015576,29.423845237278364,Brazil,residential
4,-0.3816840471095246,30.175115487488494,Brazil,residential
5,-0.36100428615889346,30.926385737698624,Brazil,residential
6,-0.3403245252082623,31.677655987908754,Brazil,residential
7,-0.3196447642576311,32.42892623811888,Brazil,residential
8,-0.298965003307,33.18019648832902,Brazil,residential
9,-0.2782852423563688,33.93146673853914,Brazil,residential
10,-0.2576054814057377,34.68273698874928,Brazil,residential
11,-0.23692572045510651,35.4340072389594,Brazil,residential
12,-0.21624595950447534,36.185277489169536,Brazil,residential
13,-0.19556619855384416,36.93654773937966,Brazil,residential
14,-0.174886437603213,37.687817989589796,Brazil,residential
15,-0.15420667665258186,38.43908823979993,Brazil,residential
16,-0.13352691570195072,39.190358490010055,Brazil,residential
17,-0.11284715475131951,39.94162874022019,Brazil,residential
18,-0.09216739380068839,40.69289899043032,Brazil,residential
19,-0.07148763285005721,41.44416924064045,Brazil,residential
0,1.3775788923513463,22.20951997316805,France,residential
1,1.6002911804883653,23.037058338720122,France,residential
2,1.823003468625384,23.8645967042722,France,residential
3,2.0457157567624034,24.69213506982427,France,residential
4,2.268428044899422,25.519673435376347,France,residential
5,2.491140333036441,26.34721180092842,France,residential
6,2.71385262117346,27.174750166480493,France,residential
7,2.936564909310479,28.00228853203257,France,residential
8,3.159277197447498,28.829826897584642,France,residential
9,3.3819894855845165,29.657365263136718,France,residential
10,3.6047017737215357,30.48490362868879,France,residential
11,3.8274140618585544,31.312441994240864,France,residential
12,4.0501263499955735,32.13998035979294,France,residential
13,4.272838638132592,32.967518725345016,France,residential
14,4.495550926269612,33.79505709089709,France,residential
15,4.7182632144066305,34.62259545644916,France,residential
16,4.940975502543649,35.450133822001234,France,residential
17,5.163687790680669,36.27767218755331,France,residential
18,5.386400078817687,37.10521055310539,France,residential
19,5.609112366954706,37.93274891865746,France,residential
0,-0.6887368425924878,19.090580205336305,India,residential
1,-0.6550603305509377,20.608683974934475,India,residential
2,-0.6213838185093877,22.12678774453265,India,residential
3,-0.5877073064678378,23.64489151413082,India,residential
4,-0.5540307944262878,25.16299528372899,India,residential
5,-0.5203542823847378,26.681099053327163,India,residential
6,-0.4866777703431877,28.199202822925333,India,residential
7,-0.45300125830163773,29.717306592523506,India,residential
8,-0.41932474626008776,31.235410362121677,India,residential
9,-0.3856482342185378,32.75351413171985,India,residential
10,-0.35197172217698774,34.271617901318024,India,residential
11,-0.31829521013543777,35.789721670916194,India,residential
12,-0.28461869809388773,37.307825440514364,India,residential
13,-0.25094218605233776,38.825929210112534,India,residential
14,-0.21726567401078775,40.344032979710704,India,residential
15,-0.18358916196923775,41.862136749308874,India,residential
16,-0.14991264992768777,43.380240518907044,India,residential
17,-0.11623613788613774,44.898344288505214,India,residential
18,-0.08255962584458781,46.41644805810339,India,residential
19,-0.048883113803037725,47.93455182770156,India,residential
0,-0.126085925281943,21.17821810538312,Turkey,residential
1,-0.11018428393593047,22.283109503374217,Turkey,residential
2,-0.09428264258991796,23.388000901365313,Turkey,residential
3,-0.07838100124390542,24.492892299356413,Turkey,residential
4,-0.0624793598978929,25.59778369734751,Turkey,residential
5,-0.04657771855188038,26.702675095338606,Turkey,residential
6,-0.03067607720586784,27.807566493329702,Turkey,residential
7,-0.014774435859855321,28.9124578913208,Turkey,residential
8,0.0011272054861572005,30.017349289311895,Turkey,residential
9,0.017028846832169722,31.12224068730299,Turkey,residential
10,0.03293048817818224,32.22713208529409,Turkey,residential
11,0.04883212952419476,33.332023483285184,Turkey,residential
12,0.06473377087020732,34.43691488127628,Turkey,residential
13,0.08063541221621984,35.541806279267384,Turkey,residential
14,0.09653705356223236,36.64669767725848,Turkey,residential
15,0.11243869490824487,37.751589075249576,Turkey,residential
16,0.1283403362542574,38.85648047324067,Turkey,residential
17,0.14424197760026997,39.96137187123177,Turkey,residential
18,0.16014361894628243,41.066263269222866,Turkey,residential
19,0.176045260292295,42.17115466721396,Turkey,residential
0,0.8787882757038834,22.3887370442807,United States,residential
1,0.9334976056963917,23.562562691133863,United States,residential
2,0.9882069356889003,24.736388337987023,United States,residential
3,1.0429162656814086,25.910213984840187,United States,residential
4,1.0976255956739172,27.084039631693347,United States,residential
5,1.1523349256664255,28.25786527854651,United States,residential
6,1.2070442556589338,29.43169092539967,United States,residential
7,1.2617535856514424,30.605516572252835,United States,residential
8,1.3164629156439507,31.779342219106,United States,residential
9,1.3711722456364592,32.95316786595916,United States,residential
10,1.4258815756289676,34.12699351281232,United States,residential
11,1.4805909056214759,35.30081915966548,United States,residential
12,1.5353002356139844,36.47464480651865,United States,residential
13,1.590009565606493,37.64847045337181,United States,residential
14,1.6447188955990013,38.822296100224975,United States,residential
15,1.6994282255915096,39.996121747078135,United States,residential
16,1.754137555584018,41.169947393931295,United States,residential
17,1.8088468855765265,42.343773040784455,United States,residential
18,1.8635562155690348,43.517598687637616,United States,residential
19,1.9182655455615434,44.69142433449078,United States,residential
0,6.143019546033532,30.83610419071085,Nigeria,residential
1,6.230595025151585,31.389162927871293,Nigeria,residential
2,6.318170504269638,31.942221665031738,Nigeria,residential
3,6.405745983387692,32.49528040219218,Nigeria,residential
4,6.493321462505745,33.04833913935263,Nigeria,residential
5,6.580896941623799,33.60139787651307,Nigeria,residential
6,6.6684724207418515,34.15445661367352,Nigeria,residential
7,6.7560478998599045,34.70751535083396,Nigeria,residential
8,6.8436233789779575,35.26057408799441,Nigeria,residential
9,6.931198858096011,35.81363282515485,Nigeria,residential
10,7.018774337214064,36.366691562315296,Nigeria,residential
11,7.106349816332117,36.91975029947574,Nigeria,residential
12,7.193925295450171,37.472809036636185,Nigeria,residential
13,7.281500774568224,38.02586777379663,Nigeria,residential
14,7.369076253686277,38.578926510957075,Nigeria,residential
15,7.456651732804331,39.131985248117516,Nigeria,residential
16,7.544227211922384,39.68504398527796,Nigeria,residential
17,7.631802691040438,40.238102722438406,Nigeria,residential
18,7.719378170158491,40.791161459598854,Nigeria,residential
19,7.806953649276544,41.344220196759295,Nigeria,residential
0,5.370486447963373,27.17003448664797,Brazil,workplaces
1,5.0127378268971015,27.9213047368581,Brazil,workplaces
2,4.65498920583083,28.67257498706823,Brazil,workplaces
3,4.297240584764559,29.423845237278364,Brazil,workplaces
4,3.939491963698287,30.175115487488494,Brazil,workplaces
5,3.5817433426320155,30.926385737698624,Brazil,workplaces
6,3.2239947215657434,31.677655987908754,Brazil,workplaces
7,2.866246100499472,32.42892623811888,Brazil,workplaces
8,2.508497479433201,33.18019648832902,Brazil,workplaces
9,2.150748858366929,33.93146673853914,Brazil,workplaces
